Site,DATE,TIME,AUTO ID*
RECCON,3/9/2021,22:02:33,NoID
RECCON,3/9/2021,18:40:10,NoID
RECCON,3/9/2021,19:08:42,NoID
RECCON,3/9/2021,19:05:44,NoID
RECCON,3/9/2021,20:14:49,NoID
RECCON,3/9/2021,19:29:02,NoID
RECCON,3/9/2021,22:02:45,NoID
RECCON,3/9/2021,23:01:05,NoID
RECCON,3/9/2021,22:02:33,NoID
RECCON,3/9/2021,19:05:05,NYCHUM
RECCON,3/9/2021,19:05:05,NYCHUM
RECCON,3/10/2021,19:17:53,NoID
RECCON,3/10/2021,19:01:13,NoID
RECCON,3/10/2021,19:17:53,NoID
RECCON,3/10/2021,19:01:13,NoID
RECCON,3/10/2021,20:42:49,NYCHUM
RECCON,3/10/2021,20:33:12,NYCHUM
RECCON,3/10/2021,20:42:49,NYCHUM
RECCON,3/10/2021,20:33:12,NYCHUM
RECCON,3/11/2021,18:32:56,LASBOR
RECCON,3/11/2021,23:27:23,NoID
RECCON,3/12/2021,18:31:44,EPTFUS
RECCON,3/12/2021,20:04:34,LASBOR
RECCON,3/12/2021,22:15:52,LASCIN
RECCON,3/12/2021,18:39:02,NoID
RECCON,3/12/2021,20:08:38,PERSUB
RECCON,3/12/2021,20:46:47,PERSUB
RECCON,3/13/2021,21:35:18,LASCIN
RECCON,3/13/2021,19:51:35,NoID
RECCON,3/13/2021,21:29:56,TADBRA
RECCON,3/14/2021,18:41:42,EPTFUS
RECCON,3/14/2021,18:37:40,NoID
RECCON,3/14/2021,19:12:21,NoID
RECCON,3/14/2021,19:01:45,NoID
RECCON,3/14/2021,0:48:50,TADBRA
RECCON,3/15/2021,19:51:16,NoID
RECCON,3/15/2021,19:48:16,TADBRA
RECCON,3/16/2021,4:00:30,LASCIN
RECCON,3/21/2021,22:25:05,LASCIN
RECCON,3/21/2021,21:28:44,NoID
RECCON,3/21/2021,18:51:42,NoID
RECCON,3/21/2021,19:13:04,NoID
RECCON,3/21/2021,20:57:32,NoID
